Section,year,catch
Northeast,2006,95.3032217361033
Eastside,2006,283.307299669832
Afognak,2006,287.65153261832893
Southeast,2006,226.01040386594832
Northeast,2007,277.9200969822705
Eastside,2007,241.86985911801457
Afognak,2007,261.03288018144667
Southeast,2007,68.529943972826
Northeast,2008,141.69647087343037
Eastside,2008,76.46799620240927
Afognak,2008,121.63099270313978
Southeast,2008,164.97918508015573
Northeast,2009,224.25705509260297
Eastside,2009,38.41217614710331
Afognak,2009,58.45549477264285
Southeast,2009,70.43873839080334
Northeast,2010,155.90939565561712
Eastside,2010,162.88439955562353
Afognak,2010,159.88654137589037
Southeast,2010,76.31156543269753
Northeast,2011,222.29289685375988
Eastside,2011,239.41949552856386
Afognak,2011,131.5626724343747
Southeast,2011,60.40177525021136
Northeast,2012,230.01077665947378
Eastside,2012,95.01116282306612
Afognak,2012,79.89131165668368
Southeast,2012,84.78383526206017
Northeast,2013,164.3395845219493
Eastside,2013,296.4824955444783
Afognak,2013,129.37011088244617
Southeast,2013,156.0141879040748
Northeast,2014,244.72851823084056
Eastside,2014,137.07542586140335
Afognak,2014,142.94496380724013
Southeast,2014,119.12732518278062
Northeast,2015,243.195473048836
Eastside,2015,26.850085724145174
Afognak,2015,295.3372663538903
Southeast,2015,298.0806257389486
Northeast,2016,167.83014214597642
Eastside,2016,33.27638369053602
Afognak,2016,55.07571472786367
Southeast,2016,195.12754569761455
Northeast,2017,88.79121664911509
Eastside,2017,183.68433303199708
Afognak,2017,43.961932426318526
Southeast,2017,73.88346550054848
Northeast,2018,37.7062183432281
Eastside,2018,28.376857424154878
Afognak,2018,294.9028321914375
Southeast,2018,58.569867918267846
Northeast,2019,158.36095813661814
Eastside,2019,49.32596364989877
Afognak,2019,285.4101319797337
Southeast,2019,159.47028003633022
